,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
515,Corsair CMD64GX4M4A2666C15 16GB,41,14.0,13.6,$369.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4A2666C15+16GB&id=9173
516,Corsair CMD64GX4M4B2800C14 16GB,25,15.0,11.6,$479.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B2800C14+16GB&id=8075
517,Corsair CMD64GX4M4B3000C15 16GB,30,19.5,14.5,$459.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3000C15+16GB&id=8693
518,Corsair CMD64GX4M4B3333C16 16GB,35,14.7,10.7,$958.08*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3333C16+16GB&id=8657
519,Corsair CMD64GX4M4B3466C16 16GB,29,17.5,15.5,$849.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4B3466C16+16GB&id=8837
520,Corsair CMD64GX4M4C3000C15 16GB,34,16.1,13.9,$417.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4C3000C15+16GB&id=9920
521,Corsair CMD64GX4M4C3200C16 16GB,35,16.5,13.7,$429.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M4C3200C16+16GB&id=8859
522,Corsair CMD64GX4M8A2400C14 8GB,28,12.9,10.6,$894.83*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2400C14+8GB&id=7026
523,Corsair CMD64GX4M8A2666C15 8GB,39,13.7,11.9,$728.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8A2666C15+8GB&id=7034
525,Corsair CMD64GX4M8B2800C14 8GB,26,14.4,11.0,$699.89*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8B2800C14+8GB&id=8803
526,Corsair CMD64GX4M8B3200C16 8GB,26,14.8,11.0,$549.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8B3200C16+8GB&id=8869
528,Corsair CMD64GX4M8X4000C19 8GB,27,12.2,15.9,$899.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD64GX4M8X4000C19+8GB&id=12127
529,Corsair CMD8GX4M2B3000C15 4GB,21,18.5,14.2,$291.02*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3000C15+4GB&id=8564
530,Corsair CMD8GX4M2B3200C16 4GB,24,19.5,16.3,$79.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3200C16+4GB&id=10934
532,Corsair CMD8GX4M2B3600C18 4GB,22,18.1,14.4,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3600C18+4GB&id=8426
533,Corsair CMD8GX4M2B3866C18 4GB,18,21.2,17.7,$257.22*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B3866C18+4GB&id=9446
534,Corsair CMD8GX4M2B4000C19 4GB,18,21.4,18.5,$415.63*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD8GX4M2B4000C19+4GB&id=11863
536,Corsair CMG16GX4M2D3600C18 8GB,34,21.8,16.7,$119.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG16GX4M2D3600C18+8GB&id=17111
537,Corsair CMG16GX4M2E3200C16 8GB,34,20.4,14.8,$109.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG16GX4M2E3200C16+8GB&id=17493
538,Corsair CMG32GX4M2D3600C18 16GB,36,21.1,15.2,$204.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG32GX4M2D3600C18+16GB&id=17242
539,Corsair CMG32GX4M2E3200C16 16GB,32,19.1,14.2,$186.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG32GX4M2E3200C16+16GB&id=17292
540,Corsair CMG64GX4M2D3600C18 32GB,35,22.2,16.3,$729.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG64GX4M2D3600C18+32GB&id=17673
541,Corsair CMG64GX4M2E3200C16 32GB,44,21.6,14.3,$443.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMG64GX4M2E3200C16+32GB&id=18720
544,Corsair CMH16GX4M2D3600C18 8GB,34,20.4,15.7,$118.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2D3600C18+8GB&id=16151
