,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
1272,Crucial Technology BLS8G4D240FSB.16FADG 8GB,26,15.3,11.6,$125.28*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D240FSB.16FADG+8GB&id=8182
1283,Crucial Technology BLS8G4D240FSC.16FARG 8GB,33,16.5,12.1,$54.97,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D240FSC.16FARG+8GB&id=8710
1290,Crucial Technology BLS8G4D240FSE.16FAR 8GB,23,16.8,11.8,$160.24,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D240FSE.16FAR+8GB&id=8752
1298,Crucial Technology BLS8G4D26BFSB.16FBD2 8GB,30,17.1,13.3,$130.98*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D26BFSB.16FBD2+8GB&id=11339
1305,Crucial Technology BLS8G4D26BFSC.16FB 8GB,30,18.2,14.9,$44.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D26BFSC.16FB+8GB&id=15033
1312,Crucial Technology BLS8G4D26BFSE.16FB 8GB,24,14.3,7.0,$84.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D26BFSE.16FB+8GB&id=12666
1320,Crucial Technology BLS8G4D26BFSTK.8FD 8GB,28,17.8,14.0,$32.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D26BFSTK.8FD+8GB&id=12373
1321,Crucial Technology BLS8G4D30AESBK.M8FE 8GB,28,18.6,14.7,$146.01*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D30AESBK.M8FE+8GB&id=13252
1322,Crucial Technology BLS8G4D30AESCK.M8FE 8GB,29,18.2,14.9,$137.87,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D30AESCK.M8FE+8GB&id=13318
1323,Crucial Technology BLS8G4D30AESEK.M8FE 8GB,27,18.8,15.5,$124.80*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D30AESEK.M8FE+8GB&id=13088
1325,Crucial Technology BLS8G4D30BESBK.8FB 8GB,29,16.8,12.6,$130.00*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D30BESBK.8FB+8GB&id=13114
1327,Crucial Technology BLS8G4D30CESTK.8FD 8GB,32,16.0,13.2,$38.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D30CESTK.8FD+8GB&id=12425
1328,Crucial Technology BLS8G4D32AESBK.M8FE 8GB,27,18.7,15.3,$39.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D32AESBK.M8FE+8GB&id=13082
1330,Crucial Technology BLS8G4D32AESCK.M8FE 8GB,29,17.2,13.2,$150.98*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D32AESCK.M8FE+8GB&id=13183
1332,Crucial Technology BLS8G4D32AESEK.M8FE 8GB,28,20.9,16.1,$142.39,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D32AESEK.M8FE+8GB&id=13261
1334,Crucial Technology BLS8G4D32AESTK.M8FE 8GB,30,17.4,14.4,$38.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4D32AESTK.M8FE+8GB&id=13447
1336,Crucial Technology BLS8G4S240FSD.16FAR 8GB,25,15.5,12.7,$94.37*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4S240FSD.16FAR+8GB&id=9532
1342,Crucial Technology BLS8G4S26BFSD.16FBD2 8GB,25,15.4,11.9,$117.77,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLS8G4S26BFSD.16FBD2+8GB&id=11695
1348,Crucial Technology BLT16G4D30AETA.K16FB 16GB,30,17.3,14.2,$277.72*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLT16G4D30AETA.K16FB+16GB&id=11427
1350,Crucial Technology BLT4G4D26AFTA.8FADG 4GB,23,16.5,12.6,$33.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLT4G4D26AFTA.8FADG+4GB&id=8152
1353,Crucial Technology BLT4G4D30AETA.K8FE 4GB,20,18.5,14.3,$34.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLT4G4D30AETA.K8FE+4GB&id=9354
1354,Crucial Technology BLT8G4D26AFTA.16FAD 8GB,36,15.6,12.5,$39.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLT8G4D26AFTA.16FAD+8GB&id=8198
1358,Crucial Technology BLT8G4D30AETA.K16FD 8GB,17,20.8,16.8,$82.39*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLT8G4D30AETA.K16FD+8GB&id=12616
1359,Crucial Technology BLT8G4D30AETA.K16FE 8GB,28,18.2,13.7,$59.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLT8G4D30AETA.K16FE+8GB&id=9232
1360,Crucial Technology BLT8G4D30BET4K.C8FD 8GB,31,17.1,13.9,$37.70*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+BLT8G4D30BET4K.C8FD+8GB&id=12436
1369,Crucial Technology CB8GS2400.C8D 8GB,89,13.6,6.8,$43.97*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CB8GS2400.C8D+8GB&id=13964
1379,Crucial Technology CT16G4DFD8213.16FDD1 16GB,76,13.6,6.4,$88.16*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD8213.16FDD1+16GB&id=11742
1380,Crucial Technology CT16G4DFD8213.C16FAD 16GB,35,16.4,11.6,$109.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD8213.C16FAD+16GB&id=9470
1381,Crucial Technology CT16G4DFD8213.C16FBD 16GB,33,16.3,10.9,$63.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD8213.C16FBD+16GB&id=9284
1385,Crucial Technology CT16G4DFD8213.M16FA 16GB,30,14.9,10.0,$69.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD8213.M16FA+16GB&id=8982
1386,Crucial Technology CT16G4DFD8213.M16FB 16GB,25,16.1,11.3,$58.70*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD8213.M16FB+16GB&id=8796
1387,Crucial Technology CT16G4DFD824A.C16FAD 16GB,34,16.7,12.4,$217.35*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD824A.C16FAD+16GB&id=10047
1388,Crucial Technology CT16G4DFD824A.C16FBD 16GB,34,15.5,11.7,$96.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD824A.C16FBD+16GB&id=9153
1401,Crucial Technology CT16G4DFD8266.C16FD1 16GB,35,16.3,13.5,$435.34*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD8266.C16FD1+16GB&id=11917
1411,Crucial Technology CT16G4DFD832A.C16FJ 16GB,35,16.4,16.0,$86.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD832A.C16FJ+16GB&id=15253
1414,Crucial Technology CT16G4DFD832A.M16FJ 16GB,31,15.9,14.7,$61.97*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFD832A.M16FJ+16GB&id=15112
1416,Crucial Technology CT16G4DFRA266.C8FB 16GB,35,16.2,13.2,$63.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFRA266.C8FB+16GB&id=15303
1420,Crucial Technology CT16G4DFRA32A.C16FP 16GB,37,21.1,15.9,$67.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFRA32A.C16FP+16GB&id=16236
1423,Crucial Technology CT16G4DFRA32A.C8FE 16GB,31,18.1,14.8,$67.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFRA32A.C8FE+16GB&id=15238
1428,Crucial Technology CT16G4DFS8266.C8FB 16GB,27,17.3,14.6,$77.43*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFS8266.C8FB+16GB&id=15014
1430,Crucial Technology CT16G4DFS832A.C8FE 16GB,34,20.0,13.8,$220.60*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4DFS832A.C8FE+16GB&id=16417
1434,Crucial Technology CT16G4SFD8213.C16FAD 16GB,41,12.2,9.7,$36.96,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD8213.C16FAD+16GB&id=9419
1435,Crucial Technology CT16G4SFD8213.C16FBD 16GB,35,14.0,10.9,$63.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD8213.C16FBD+16GB&id=9085
1439,Crucial Technology CT16G4SFD8213.M16FA 16GB,26,15.4,11.4,$51.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD8213.M16FA+16GB&id=8983
1440,Crucial Technology CT16G4SFD8213.M16FB 16GB,28,13.7,10.9,$62.33*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD8213.M16FB+16GB&id=8901
1441,Crucial Technology CT16G4SFD824A.C16FBD 16GB,38,14.3,12.1,$119.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD824A.C16FBD+16GB&id=10205
1442,Crucial Technology CT16G4SFD824A.C16FBR 16GB,36,14.9,12.2,$112.81*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD824A.C16FBR+16GB&id=9356
1448,Crucial Technology CT16G4SFD824A.M16FA 16GB,25,15.9,12.9,$81.77*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD824A.M16FA+16GB&id=9339
1457,Crucial Technology CT16G4SFD8266 16GB,34,12.7,8.9,$109.00*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD8266+16GB&id=14240
1458,Crucial Technology CT16G4SFD8266.16FE1 16GB,53,15.6,13.7,$215.88,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD8266.16FE1+16GB&id=15689
1459,Crucial Technology CT16G4SFD8266.C16FD1 16GB,36,16.1,14.0,$66.34*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD8266.C16FD1+16GB&id=12202
1471,Crucial Technology CT16G4SFD832A.M16FJ 16GB,32,16.9,15.3,$79.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFD832A.M16FJ+16GB&id=14975
1474,Crucial Technology CT16G4SFRA266.C16FJ 16GB,30,17.0,15.1,$38.75,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFRA266.C16FJ+16GB&id=16316
1476,Crucial Technology CT16G4SFRA266.C8FB 16GB,40,14.3,12.5,$63.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFRA266.C8FB+16GB&id=15266
1477,Crucial Technology CT16G4SFRA266.C8FE 16GB,34,15.9,13.4,$63.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFRA266.C8FE+16GB&id=15257
1481,Crucial Technology CT16G4SFRA32A.C16FJ 16GB,51,16.1,14.7,$36.28,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFRA32A.C16FJ+16GB&id=16252
1485,Crucial Technology CT16G4SFRA32A.C8FB 16GB,38,15.6,13.4,$67.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFRA32A.C8FB+16GB&id=15659
1486,Crucial Technology CT16G4SFRA32A.C8FE 16GB,43,16.1,13.6,$67.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFRA32A.C8FE+16GB&id=15142
1492,Crucial Technology CT16G4SFS8266.C8FE 16GB,38,15.8,12.8,$55.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFS8266.C8FE+16GB&id=15402
1493,Crucial Technology CT16G4SFS832A.C8FB 16GB,40,16.0,13.4,$62.70*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFS832A.C8FB+16GB&id=16850
1494,Crucial Technology CT16G4SFS832A.C8FE 16GB,41,17.1,14.1,$429.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT16G4SFS832A.C8FE+16GB&id=15895
1497,Crucial Technology CT32G4DFD8266.C16FE 32GB,34,18.0,14.9,$174.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT32G4DFD8266.C16FE+32GB&id=16257
1502,Crucial Technology CT32G4SFD8266.C16FB 32GB,37,16.0,14.2,$153.39*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT32G4SFD8266.C16FB+32GB&id=14895
1505,Crucial Technology CT32G4SFD832A.C16FB 32GB,36,16.9,15.8,$197.63*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT32G4SFD832A.C16FB+32GB&id=15928
1510,Crucial Technology CT4G4DFS8213.8FA11 4GB,24,15.4,11.5,$12.84,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS8213.8FA11+4GB&id=8184
1512,Crucial Technology CT4G4DFS8213.C8FAD1 4GB,39,12.4,10.0,$20.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS8213.C8FAD1+4GB&id=7321
1515,Crucial Technology CT4G4DFS8213.C8FAR 4GB,28,12.6,9.9,$41.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS8213.C8FAR+4GB&id=6293
1526,Crucial Technology CT4G4DFS824A.C8FADP 4GB,25,16.0,11.0,$17.90,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS824A.C8FADP+4GB&id=11232
1527,Crucial Technology CT4G4DFS824A.C8FBD1 4GB,29,16.1,13.2,$38.33*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS824A.C8FBD1+4GB&id=9637
1537,Crucial Technology CT4G4DFS8266.C8FB 4GB,61,18.4,8.5,$27.13*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS8266.C8FB+4GB&id=13817
1538,Crucial Technology CT4G4DFS8266.C8FE 4GB,47,14.0,8.4,$22.98*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4DFS8266.C8FE+4GB&id=12886
1544,Crucial Technology CT4G4SFS624A.C4FB 4GB,84,14.8,6.8,$18.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4SFS624A.C4FB+4GB&id=12529
1545,Crucial Technology CT4G4SFS8213.C8FADP 4GB,26,14.3,11.1,$20.31*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4SFS8213.C8FADP+4GB&id=11563
1546,Crucial Technology CT4G4SFS8213.C8FBD1 4GB,78,11.3,8.9,$51.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT4G4SFS8213.C8FBD1+4GB&id=9405
1559,Crucial Technology CT8G4DFD8213.16FA11 8GB,26,15.5,11.3,$17.74,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFD8213.16FA11+8GB&id=8178
1560,Crucial Technology CT8G4DFD8213.C16FA11 8GB,32,16.5,12.2,$36.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFD8213.C16FA11+8GB&id=7939
1561,Crucial Technology CT8G4DFD8213.C16FAD1 8GB,29,13.2,10.4,$44.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFD8213.C16FAD1+8GB&id=7242
1563,Crucial Technology CT8G4DFD8213.C16FAR1 8GB,37,14.7,11.0,$82.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFD8213.C16FAR1+8GB&id=6930
1573,Crucial Technology CT8G4DFD824A.C16FADP 8GB,24,17.1,13.6,$19.35*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFD824A.C16FADP+8GB&id=11215
1574,Crucial Technology CT8G4DFD824A.C16FBD1 8GB,33,17.2,12.8,$63.14*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFD824A.C16FBD1+8GB&id=9413
1588,Crucial Technology CT8G4DFRA266.C8FN 8GB,29,15.9,13.6,$28.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFRA266.C8FN+8GB&id=15163
1593,Crucial Technology CT8G4DFRA32A.C4FE 8GB,34,16.8,11.7,$43.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFRA32A.C4FE+8GB&id=15305
1601,Crucial Technology CT8G4DFS632A.M4FB 8GB,35,19.6,13.0,$189.49*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS632A.M4FB+8GB&id=16117
1603,Crucial Technology CT8G4DFS8213.C8FAD1 8GB,25,13.7,8.0,$23.64*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS8213.C8FAD1+8GB&id=9996
1604,Crucial Technology CT8G4DFS8213.C8FBD1 8GB,33,15.3,11.3,$49.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS8213.C8FBD1+8GB&id=9124
1609,Crucial Technology CT8G4DFS8213.M8FA 8GB,30,16.1,11.1,$28.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS8213.M8FA+8GB&id=8590
1612,Crucial Technology CT8G4DFS824A.C8FAD1 8GB,33,17.2,12.4,$36.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS824A.C8FAD1+8GB&id=10023
1627,Crucial Technology CT8G4DFS8266.C8FD1 8GB,30,17.0,13.2,$203.36*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS8266.C8FD1+8GB&id=11705
1637,Crucial Technology CT8G4DFS832A.C8FE 8GB,32,21.6,15.5,$97.79*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS832A.C8FE+8GB&id=16934
1638,Crucial Technology CT8G4DFS832A.C8FJ 8GB,29,18.2,15.7,$55.88*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4DFS832A.C8FJ+8GB&id=14951
1642,Crucial Technology CT8G4SFD8213.C16FADP 8GB,29,13.1,9.6,$49.00*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFD8213.C16FADP+8GB&id=10230
1643,Crucial Technology CT8G4SFD8213.C16FBD1 8GB,37,14.1,11.0,$77.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFD8213.C16FBD1+8GB&id=9383
1649,Crucial Technology CT8G4SFD824A.C16FADP 8GB,31,15.6,11.8,$29.00*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFD824A.C16FADP+8GB&id=11124
1659,Crucial Technology CT8G4SFRA266.C4FE 8GB,42,16.4,13.0,$36.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFRA266.C4FE+8GB&id=15416
1661,Crucial Technology CT8G4SFRA266.C8FE 8GB,43,15.1,12.9,$28.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFRA266.C8FE+8GB&id=15216
1667,Crucial Technology CT8G4SFRA32A.C16FG 8GB,40,14.9,14.2,$25.00,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFRA32A.C16FG+8GB&id=16371
1668,Crucial Technology CT8G4SFRA32A.C4FE 8GB,49,16.1,12.0,$33.99*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFRA32A.C4FE+8GB&id=15195
1679,Crucial Technology CT8G4SFS632A.M4FE 8GB,49,17.8,12.0,$49.31*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS632A.M4FE+8GB&id=16508
1680,Crucial Technology CT8G4SFS8213.C8FAD1 8GB,27,14.4,10.6,$49.00*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS8213.C8FAD1+8GB&id=9626
1686,Crucial Technology CT8G4SFS8213.M8FB 8GB,36,14.2,10.7,$54.67*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS8213.M8FB+8GB&id=9025
1687,Crucial Technology CT8G4SFS824A.C8FAD1 8GB,26,14.8,9.6,$40.72*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS824A.C8FAD1+8GB&id=9967
1688,Crucial Technology CT8G4SFS824A.C8FBD1 8GB,26,14.6,9.8,$35.59*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS824A.C8FBD1+8GB&id=9704
1697,Crucial Technology CT8G4SFS824A.M8FA 8GB,24,13.7,6.5,$54.67*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS824A.M8FA+8GB&id=9098
1704,Crucial Technology CT8G4SFS8266.C8FD1 8GB,34,16.7,12.5,$66.68*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS8266.C8FD1+8GB&id=12647
1711,Crucial Technology CT8G4SFS832A.C8FE 8GB,48,16.7,13.5,$34.29*,https://www.memorybenchmark.net/ram.php?ram=Crucial+Technology+CT8G4SFS832A.C8FE+8GB&id=16560
1836,G Skill Intl F4-2133C15-8GRK 8GB,40,12.6,10.3,$139.99*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2133C15-8GRK+8GB&id=6312
1854,G Skill Intl F4-2400C15-4GNT 4GB,37,14.9,11.2,$71.99*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2400C15-4GNT+4GB&id=6357
1856,G Skill Intl F4-2400C15-4GRK 4GB,39,13.2,10.7,$120.43*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2400C15-4GRK+4GB&id=6331
1857,G Skill Intl F4-2400C15-4GRR 4GB,36,14.8,11.3,$132.99*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2400C15-4GRR+4GB&id=6329
1864,G Skill Intl F4-2400C15-8GNT 8GB,34,16.1,11.6,$183.22*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2400C15-8GNT+8GB&id=6336
1866,G Skill Intl F4-2400C15-8GRK 8GB,41,14.8,11.5,$356.99*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2400C15-8GRK+8GB&id=6294
1867,G Skill Intl F4-2400C15-8GRR 8GB,36,15.4,11.5,$142.99*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2400C15-8GRR+8GB&id=6395
1903,G Skill Intl F4-2666C15-4GRR 4GB,35,15.5,12.2,$98.97*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2666C15-4GRR+4GB&id=6334
1907,G Skill Intl F4-2666C15-8GRR 8GB,35,15.9,12.2,$360.99*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2666C15-8GRR+8GB&id=6302
1952,G Skill Intl F4-2800C16-4GRK 4GB,39,14.1,11.2,$103.26*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-2800C16-4GRK+4GB&id=6368
1985,G Skill Intl F4-3000C15-4GRR 4GB,36,14.9,12.0,$224.11*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3000C15-4GRR+4GB&id=6347
1992,G Skill Intl F4-3000C15-8GRK 8GB,32,16.8,12.7,$164.99*,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3000C15-8GRK+8GB&id=6360
2266,G Skill Intl F4-3600C18D-32GVK 16GB,50,18.7,14.2,$179.00,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3600C18D-32GVK+16GB&id=19630
2426,GIGA - BYTE Technology Co Ltd GP-ARS16G33 8GB,27,19.1,16.8,$149.00,https://www.memorybenchmark.net/ram.php?ram=GIGA+-+BYTE+Technology+Co+Ltd+GP-ARS16G33+8GB&id=16507
2427,GIGA - BYTE Technology Co Ltd GP-ARS16G37 8GB,34,19.5,15.5,$169.00,https://www.memorybenchmark.net/ram.php?ram=GIGA+-+BYTE+Technology+Co+Ltd+GP-ARS16G37+8GB&id=16161
2428,GIGA - BYTE Technology Co Ltd GP-ARS16G44 8GB,35,19.0,15.9,$179.00*,https://www.memorybenchmark.net/ram.php?ram=GIGA+-+BYTE+Technology+Co+Ltd+GP-ARS16G44+8GB&id=15802
2430,GIGA - BYTE Technology Co Ltd GP-GR26C16S8K1HU408 8GB,28,17.3,13.6,$65.00,https://www.memorybenchmark.net/ram.php?ram=GIGA+-+BYTE+Technology+Co+Ltd+GP-GR26C16S8K1HU408+8GB&id=14885
3094,Kingston HP24D4S7S8MBP-8 8GB,40,13.2,10.9,$67.99*,https://www.memorybenchmark.net/ram.php?ram=Kingston+HP24D4S7S8MBP-8+8GB&id=10769
3103,Kingston HP26D4S9S8ME-8 8GB,34,15.6,12.8,$41.99*,https://www.memorybenchmark.net/ram.php?ram=Kingston+HP26D4S9S8ME-8+8GB&id=11988
3104,Kingston HP26D4S9S8MH-8 8GB,35,15.1,12.2,$69.99*,https://www.memorybenchmark.net/ram.php?ram=Kingston+HP26D4S9S8MH-8+8GB&id=11428
3296,Kingston KMKYF9-MID 8GB,35,15.3,12.5,$54.99*,https://www.memorybenchmark.net/ram.php?ram=Kingston+KMKYF9-MID+8GB&id=10992
3297,Kingston KMKYF9-MIH 8GB,36,13.3,11.5,$50.00*,https://www.memorybenchmark.net/ram.php?ram=Kingston+KMKYF9-MIH+8GB&id=11046
3317,Kingston M378A1K43CB2-CRC 8GB,24,13.9,6.5,$50.11*,https://www.memorybenchmark.net/ram.php?ram=Kingston+M378A1K43CB2-CRC+8GB&id=12367
3408,Micron Technology 16ATF1G64AZ-2G1B1 8GB,37,15.4,11.9,$74.81*,https://www.memorybenchmark.net/ram.php?ram=Micron+Technology+16ATF1G64AZ-2G1B1+8GB&id=8991
3432,Micron Technology 16ATF2G64HZ-2G3H1 16GB,43,12.7,10.6,$89.26*,https://www.memorybenchmark.net/ram.php?ram=Micron+Technology+16ATF2G64HZ-2G3H1+16GB&id=10884
3545,Micron Technology 8ATF1G64HZ-2G6B1 8GB,33,14.7,12.1,$79.95*,https://www.memorybenchmark.net/ram.php?ram=Micron+Technology+8ATF1G64HZ-2G6B1+8GB&id=9599
3602,Mushkin 99[2/7/4]183 8GB,27,15.0,11.6,$68.97*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D183+8GB&id=8650
3604,Mushkin 99[2/7/4]190F 4GB,26,14.1,10.7,$49.92*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D190F+4GB&id=6707
3605,Mushkin 99[2/7/4]191[F/T] 4GB,26,14.5,10.1,$46.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D191%5BF%2FT%5D+4GB&id=8408
3606,Mushkin 99[2/7/4]191F 4GB,27,13.9,10.9,$119.89*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D191F+4GB&id=7031
3609,Mushkin 99[2/7/4]197F 8GB,27,12.8,11.0,$88.32*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D197F+8GB&id=7529
