,Unnamed: 0,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
1973,3530,Intel Xeon Gold 6148 @ 2.40GHz,"28,993",234,73.24,$395.85,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6148+%40+2.40GHz&id=3176,"110,827 MOps/Sec","69,881 MOps/Sec",118 Million Primes/Sec,"62,360 Thousand Strings/Sec","11,254 MBytes/Sec","485,122 KBytes/Sec","1,740 Frames/Sec","35,363 Million Matrices/Sec","2,183 MOps/Sec"
1974,3531,Intel Xeon Gold 6150 @ 2.70GHz,"26,905",277,59.92,$449.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6150+%40+2.70GHz&id=3046,"110,252 MOps/Sec","66,175 MOps/Sec",97 Million Primes/Sec,"56,735 Thousand Strings/Sec","11,306 MBytes/Sec","465,215 KBytes/Sec","1,317 Frames/Sec","32,717 Million Matrices/Sec","2,188 MOps/Sec"
1975,3532,Intel Xeon Gold 6152 @ 2.10GHz,"24,680",325,72.38,$341.00,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6152+%40+2.10GHz&id=3169,"109,399 MOps/Sec","67,358 MOps/Sec",100 Million Primes/Sec,"60,476 Thousand Strings/Sec","8,350 MBytes/Sec","467,720 KBytes/Sec","1,338 Frames/Sec","34,337 Million Matrices/Sec","2,085 MOps/Sec"
1976,3533,Intel Xeon Gold 6154 @ 3.00GHz,"29,488",227,17.38,"$1,697.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6154+%40+3.00GHz&id=3127,"120,063 MOps/Sec","74,535 MOps/Sec",121 Million Primes/Sec,"65,892 Thousand Strings/Sec","11,986 MBytes/Sec","502,603 KBytes/Sec","1,814 Frames/Sec","39,315 Million Matrices/Sec","2,257 MOps/Sec"
1977,3534,Intel Xeon Gold 6208U @ 2.90GHz,"27,085",274,37.74,$717.78,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6208U+%40+2.90GHz&id=3742,"103,706 MOps/Sec","61,807 MOps/Sec",104 Million Primes/Sec,"55,887 Thousand Strings/Sec","11,164 MBytes/Sec","433,644 KBytes/Sec","1,620 Frames/Sec","28,712 Million Matrices/Sec","2,265 MOps/Sec"
1978,3535,Intel Xeon Gold 6210U @ 2.50GHz,"28,915",235,12.34,"$2,343.23*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6210U+%40+2.50GHz&id=3540,"112,289 MOps/Sec","70,818 MOps/Sec",144 Million Primes/Sec,"64,581 Thousand Strings/Sec","11,876 MBytes/Sec","482,063 KBytes/Sec","2,550 Frames/Sec","37,524 Million Matrices/Sec","2,203 MOps/Sec"
1979,3536,Intel Xeon Gold 6212U @ 2.40GHz,"27,470",264,13.73,"$2,000.00*",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6212U+%40+2.40GHz&id=3608,NA,NA,NA,NA,NA,NA,NA,NA,"2,013 MOps/Sec"
1980,3537,Intel Xeon Gold 6226 @ 2.70GHz,"19,810",482,18.89,"$1,048.57",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6226+%40+2.70GHz&id=3682,"66,943 MOps/Sec","41,547 MOps/Sec",85 Million Primes/Sec,"38,630 Thousand Strings/Sec","7,160 MBytes/Sec","268,312 KBytes/Sec","1,492 Frames/Sec","23,697 Million Matrices/Sec","2,104 MOps/Sec"
1981,3538,Intel Xeon Gold 6226R @ 2.90GHz,"26,240",292,21.88,"$1,199.00",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6226R+%40+2.90GHz&id=3728,"104,108 MOps/Sec","64,734 MOps/Sec",96 Million Primes/Sec,"56,202 Thousand Strings/Sec","10,664 MBytes/Sec","446,254 KBytes/Sec","1,415 Frames/Sec","30,085 Million Matrices/Sec","2,294 MOps/Sec"
1982,3539,Intel Xeon Gold 6230 @ 2.10GHz,"27,069",275,21.20,"$1,276.75",https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6230+%40+2.10GHz&id=3468,"100,266 MOps/Sec","62,400 MOps/Sec",122 Million Primes/Sec,"57,851 Thousand Strings/Sec","10,303 MBytes/Sec","435,856 KBytes/Sec","1,837 Frames/Sec","32,128 Million Matrices/Sec","2,270 MOps/Sec"
